Annotator,Bluesky label,n,Confirmed Unsafe,Labeled Safe,Precision
Ines,graphic-media,65,50,15,0.769
Ines,intolerant,70,40,30,0.571
Ines,nudity,65,61,4,0.938
Ines,porn,63,63,0,1.0
Ines,rude,67,29,38,0.433
Ines,self-harm,63,50,13,0.794
Ines,sexual,58,48,10,0.828
Ines,sexual-figurative,62,58,4,0.935
Ines,threat,60,44,16,0.733
adash,graphic-media,65,54,11,0.831
adash,intolerant,70,52,18,0.743
adash,nudity,65,62,3,0.954
adash,porn,63,63,0,1.0
adash,rude,67,38,29,0.567
adash,self-harm,63,58,5,0.921
adash,sexual,58,49,9,0.845
adash,sexual-figurative,62,58,4,0.935
adash,threat,60,48,12,0.8
